"Table 1.1  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income, Tax Year 2010",,,,,,,,,,,,,,,,,,,,
"(All figures are estimates based on samples—money amounts are in thousands of dollars except as indicated)",,,,,,,,,,,,,,,,,,,,
"Size and accumulated size
of adjusted gross income","All returns",,,,,"Taxable returns",,,,,,,,,,,,,,
,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,"Taxable income",,,"Income tax after credits",,,"Total income tax",,,,
,,,,,,,,,,"Number of
returns","Amount","Percent of
total","Number of
returns","Amount","Percent of
total","Amount","Percent of",,,"Average
total income 
tax (dollars)"
,,,"Amount","Percent
of total","Average
(dollars)",,,"Amount","Percent
of total",,,,,,,,"Total","Taxable
income","Adjusted gross
income less deficit",
,,,,,,,,,,,,,,,,,,,,
"$500,000 or more","824,584",0.6,"1,293,811,468",16.0,"1,569,048","820,443",1.0,"1,285,939,499",17.7,"819,159","1,105,576,644",20.9,"820,443","303,742,285",31.9,"303,745,303",31.9,27.5,23.6,"370,221"
"$200,000 or more","4,296,307",3.0,"2,279,242,228",28.2,"530,512","4,277,304",5.1,"2,267,063,178",31.3,"4,273,937","1,886,662,166",35.7,"4,277,304","496,568,073",52.2,"496,571,091",52.2,26.3,21.9,"116,094"
"$100,000 or more","18,293,958",12.8,"4,148,880,904",51.3,"226,790","18,147,511",21.5,"4,121,180,963",56.9,"18,141,095","3,254,392,047",61.6,"18,147,511","720,990,789",75.8,"720,993,807",75.8,22.2,17.5,"39,730"
"$75,000 or more","30,099,340",21.1,"5,169,062,747",63.9,"171,733","29,534,376",35.0,"5,106,014,468",70.5,"29,526,453","3,942,272,836",74.6,"29,534,376","807,084,298",84.8,"807,087,316",84.8,20.5,15.8,"27,327"
"$50,000 or more","48,826,510",34.2,"6,320,204,304",78.1,"129,442","46,298,663",54.8,"6,140,737,082",84.7,"46,288,839","4,633,748,841",87.7,"46,298,663","888,016,429",93.3,"888,019,447",93.3,19.2,14.5,"19,180"
"$40,000 or more","59,818,532",41.9,"6,812,289,732",84.2,"113,883","55,019,326",65.1,"6,531,665,847",90.1,"55,009,141","4,885,312,249",92.5,"55,019,326","914,654,623",96.1,"914,657,641",96.1,18.7,14.0,"16,624"
"$30,000 or more","74,431,828",52.1,"7,320,302,480",90.5,"98,349","64,890,953",76.8,"6,876,836,944",94.9,"64,879,742","5,098,121,354",96.5,"64,890,953","935,770,083",98.3,"935,773,101",98.3,18.4,13.6,"14,421"
"$25,000 or more","83,381,903",58.4,"7,565,611,587",93.5,"90,734","69,581,842",82.4,"7,005,785,594",96.7,"69,570,227","5,171,053,745",97.9,"69,581,842","942,793,863",99.1,"942,796,881",99.1,18.2,13.5,"13,549"
"$20,000 or more","93,567,185",65.5,"7,794,154,907",96.4,"83,300","74,300,354",88.0,"7,111,778,505",98.1,"74,288,699","5,226,199,385",98.9,"74,300,354","947,549,923",99.6,"947,552,942",99.6,18.1,13.3,"12,753"
"$15,000 or more","105,289,912",73.7,"7,998,721,097",98.9,"75,969","79,195,880",93.7,"7,197,393,979",99.3,"79,183,725","5,264,722,523",99.7,"79,195,880","950,053,893",99.8,"950,056,911",99.8,18.0,13.2,"11,996"
"$10,000 or more","118,096,413",82.6,"8,158,837,044",100.9,"69,086","82,217,552",97.3,"7,236,661,736",99.9,"82,205,285","5,278,190,162",99.9,"82,217,552","950,982,554",99.9,"950,985,572",99.9,18.0,13.1,"11,567"
"$5,000 or more","130,374,116",91.2,"8,252,057,253",102.0,"63,295","84,184,620",99.7,"7,251,548,032",100.1,"84,172,326","5,282,071,286",100.0,"84,184,620","951,378,139",100.0,"951,381,157",100.0,18.0,13.1,"11,301"
